Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,2.7291E-05,6.0375E-05,0.070392,0,0,0,0.30535,0.00091531,-2.4502E-07,2.9378E-07,0.00091481,8.1214E-07,0.00047819,0,0,0,0,0,0,package://my_arm/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://my_arm/meshes/base_link.STL,,baselink0-1,坐标系0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,0
Link1,-1.79E-06,-0.00081704,0.22221,0,0,0,0.29195,0.00091457,-2.7569E-08,-3.0923E-09,0.00078905,-3.0594E-06,0.00046485,0,0,0,0,0,0,package://my_arm/meshes/Link1.STL,1,1,1,1,0,0,0,0,0,0,package://my_arm/meshes/Link1.STL,,link1-1,坐标系0,基准轴1,Joint1,revolute,0,0,0,0,0,0,base_link,0,0,-1,0,0,0,0,,,,,,,,0
Link2,-4.1514E-05,-0.10429,0.0093553,0,0,0,0.27082,0.0013335,7.1062E-08,1.2189E-08,0.00037992,-0.00025535,0.0012777,0,0,0,0,0,0,package://my_arm/meshes/Link2.STL,1,1,1,1,0,0,0,0,0,0,package://my_arm/meshes/Link2.STL,,link2-1,坐标系1,基准轴2,Joint2,revolute,3.8503E-05,0,0.24812,-1.5708,0,0,Link1,0,0,-1,0,0,0,0,,,,,,,,0
Link3,3.0507E-07,-0.0023892,0.27731,0,0,0,0.2313,0.0006961,-1.7424E-08,2.8629E-08,0.0006322,1.2171E-05,0.0003123,0,0,0,0,0,0,package://my_arm/meshes/Link3.STL,1,1,1,1,0,0,0,0,0,0,package://my_arm/meshes/Link3.STL,,link3-1,坐标系2,基准轴3,Joint3,revolute,-3.8506E-05,0.00011553,0,1.5708,0,0,Link2,0,0,1,0,0,0,0,,,,,,,,0
Link4,4.72436632230346E-07,-0.0933467573063327,0.00929969242692845,0,0,0,0.201715084112471,0.000955239309516723,2.29412860088247E-08,1.80838250904925E-08,0.000253910975921601,-0.000171928824162556,0.000926300640840862,0,0,0,0,0,0,package://my_arm/meshes/Link4.STL,1,1,1,1,0,0,0,0,0,0,package://my_arm/meshes/Link4.STL,,link4-1,坐标系3,基准轴4,Joint4,revolute,0,0,0.305,-1.5708,0,0,Link3,0,0,1,0,0,0,0,,,,,,,,0
Link5,-0.00033653,-0.0030057,0.26208,0,0,0,0.20121,0.00066642,-4.7251E-06,2.796E-06,0.00062818,2.2503E-05,0.00021696,0,0,0,0,0,0,package://my_arm/meshes/Link5.STL,1,1,1,1,0,0,0,0,0,0,package://my_arm/meshes/Link5.STL,,link5-1,坐标系4,基准轴5,Joint5,revolute,0,0,0,1.5708,0,0,Link4,0,0,1,0,0,0,0,,,,,,,,0
Link6,3.20051097142969E-05,-0.0970357426358109,0.00701976192491065,0,0,0,0.186673559568422,0.000827702466809774,-2.55707502287826E-07,2.83714782540825E-08,0.000203687339165767,-0.000123109073119925,0.000811644915063726,0,0,0,0,0,0,package://my_arm/meshes/Link6.STL,1,1,1,1,0,0,0,0,0,0,package://my_arm/meshes/Link6.STL,,link6-1,坐标系5,基准轴6,Joint6,revolute,0,0,0.306,-1.5708,0,-0.12101,Link5,0,0,1,0,0,0,0,,,,,,,,0
Link7,2.7283E-15,-5.3659E-09,0.18582,0,0,0,0.10414,5.1163E-05,6.3527E-20,8.2388E-21,5.1163E-05,-3.3915E-21,9.972E-05,0,0,0,0,0,0,package://my_arm/meshes/Link7.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://my_arm/meshes/Link7.STL,,end_link-1,坐标系6,基准轴7,Joint7,revolute,0,0,0,1.5708,0,0,Link6,0,0,1,0,0,0,0,,,,,,,,0
sensor_link,5.187E-06,8.9595E-06,0.011516,0,0,0,0.10567,7.1441E-05,1.6499E-08,-4.9269E-09,7.146E-05,-8.5336E-09,0.00013366,0,0,0,0,0,0,package://my_arm/meshes/sensor_link.STL,0.79216,0.79216,0.79216,1,0,0,0,0,0,0,package://my_arm/meshes/sensor_link.STL,,sensor_link-1,坐标系8,基准轴8,sensor_joint,revolute,0,0,0.192,0,0,0.12101,Link7,0,0,1,0,0,0,0,,,,,,,,0
