// SpatialAnalyzer SA 2018.07.11_43856 ( x64 )  
// ???????? 'A::WORLD'
// AXES = CARTESIAN: X,  Y,  Z (mm)
// Point,  X,  Y,  Z

P124,  -2912.452602,  1224.752617,  -245.060804
P125,  -3003.770852,  1205.408846,  -185.003217
P126,  -2920.381953,  1121.866819,  -303.381962
P127,  -2819.186185,  1248.449629,  -302.903417
P128,  -2898.480191,  1330.348952,  -186.443365
P129,  -2912.451501,  1224.720245,  -245.094096
P130,  -2912.585424,  1224.288579,  -244.588367
P131,  -3003.765539,  1205.414012,  -184.998532
P132,  -2920.388147,  1121.862407,  -303.389254
P133,  -2819.190318,  1248.455373,  -302.904047
P134,  -2898.482503,  1330.342541,  -186.433748
P135,  -3003.771723,  1205.416075,  -184.998867
P136,  -2920.380444,  1121.861089,  -303.383597
P137,  -2819.188332,  1248.466832,  -302.904588
P138,  -2898.489671,  1330.353608,  -186.422256
P139,  -2912.443423,  1224.742452,  -245.070735
P140,  -3003.776715,  1205.415055,  -184.994419
P141,  -2920.384778,  1121.867044,  -303.377001
P142,  -2819.188479,  1248.461333,  -302.898677
P143,  -2898.488724,  1330.351527,  -186.427788
P144,  -2912.458825,  1224.678914,  -245.099828
P145,  -3003.777148,  1205.416069,  -184.990297
P146,  -2920.387529,  1121.857341,  -303.384903
P147,  -2819.192071,  1248.459575,  -302.899732
P148,  -2898.488871,  1330.340403,  -186.422130
P149,  -2912.457262,  1224.711292,  -245.081007
P150,  -2912.570456,  1224.307680,  -244.597421
P151,  -3003.773873,  1205.415339,  -184.983027
P152,  -2920.388620,  1121.867213,  -303.378845
P153,  -2819.197910,  1248.474483,  -302.880478
P154,  -2898.481380,  1330.351420,  -186.422181
P155,  -3003.783291,  1205.417801,  -184.991475
P156,  -2920.381892,  1121.860412,  -303.373666
P157,  -2819.186352,  1248.473298,  -302.890772
P158,  -2898.493054,  1330.353487,  -186.417898
P159,  -2912.457072,  1224.710451,  -245.071837
P160,  -3003.789660,  1205.416048,  -184.988518
P161,  -2920.391347,  1121.858717,  -303.369340
P162,  -2819.185771,  1248.476476,  -302.883971
P163,  -2898.490546,  1330.351799,  -186.416590
P164,  -2912.455647,  1224.739935,  -245.063257
P165,  -2912.525232,  1224.357198,  -244.607942
P166,  -3003.781462,  1205.419482,  -184.982628
P167,  -2920.387945,  1121.859502,  -303.379771
P168,  -2819.187964,  1248.465330,  -302.889268
P169,  -2898.489012,  1330.344597,  -186.409483
P170,  -3003.779895,  1205.417713,  -184.981278
P171,  -2920.394646,  1121.864082,  -303.362354
P172,  -2819.195560,  1248.474163,  -302.886833
