Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-1.9536E-08,0.0088431,0.037629,0,0,0,0.77887,0.0015096,-1.0345E-08,-2.4176E-10,0.0011768,0.00024377,0.0013264,0,0,0,0,0,0,package://two_link/meshes/base_link.STL,0.64706,0.64706,0.64706,1,0,0,0,0,0,0,package://two_link/meshes/base_link.STL,,anydrive1-1;base-1,坐标系0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,0
Link1,-4.1277E-15,-0.15,0.10285,0,0,0,0.38623,0.0033546,-1.0318E-16,-1.8435E-21,7.0388E-05,-2.9513E-19,0.0034178,0,0,0,0,0,0,package://two_link/meshes/Link1.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://two_link/meshes/Link1.STL,,link1-1,坐标系0,基准轴1,joint1,revolute,0,0,0,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,0
Link2,5.2551E-06,-0.37963,-0.045832,0,0,0,0.93375,0.014681,8.6072E-07,-1.7615E-07,0.0014073,0.0022958,0.014207,0,0,0,0,0,0,package://two_link/meshes/Link2.STL,0.64706,0.64706,0.64706,1,0,0,0,0,0,0,package://two_link/meshes/Link2.STL,,anydrive2-1;link2^gb_assembly-2,坐标系1,基准轴2,joint2,revolute,0,0,0.10805,0,0,0,Link1,0,0,1,0,0,0,0,,,,,,,,0
